Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2021-01-14,US,1271824,1124876,129394,16226888,13762167,2146630,720595,958831,222214,null,null,129406,13762167,2147187,222228
Report,2021-01-14,US,null,null,null,null,null,null,null,null,null,1093867,772242,null,null,null,null
Admin,2021-01-14,LTC,141348,137741,2987,1592436,1530727,46696,107254,114452,6492,null,null,2987,1530727,46696,6492
Admin,2021-01-15,US,1217170,1089468,114078,17444058,14851635,2260708,759493,962488,188325,null,null,114097,14851635,2261284,188339
Report,2021-01-15,US,null,null,null,null,null,null,null,null,null,956233,784495,null,null,null,null
Admin,2021-01-15,LTC,112906,110398,1463,1705342,1641125,48159,107045,114304,6523,null,null,1463,1641125,48159,6522
Admin,2021-01-16,US,631259,557207,68014,18075317,15408842,2328722,788052,982755,180259,null,null,68026,15408842,2329310,180274
Report,2021-01-16,US,null,null,null,null,null,null,null,null,null,1141043,834574,null,null,null,null
Admin,2021-01-16,LTC,64401,56659,7070,1769743,1697784,55229,108045,116279,7485,null,null,7070,1697784,55229,7484
Admin,2021-01-17,US,293157,251309,39551,18368474,15660151,2368273,799996,990580,176331,null,null,39553,15660151,2368863,176345
Report,2021-01-17,US,null,null,null,null,null,null,null,null,null,856109,853005,null,null,null,null
Admin,2021-01-17,LTC,49113,43212,5653,1818856,1740996,60882,109212,118219,8252,null,null,5653,1740996,60882,8251
Admin,2021-01-18,US,841944,617525,217549,19210418,16277676,2585822,788656,963680,162546,null,null,217567,16277676,2586430,162559
Report,2021-01-18,US,null,null,null,null,null,null,null,null,null,548050,871378,null,null,null,null
Admin,2021-01-18,LTC,170441,129220,40619,1989297,1870216,101501,108938,122079,12430,null,null,40619,1870216,101501,12429
Admin,2021-01-19,US,1298837,945572,337258,20509255,17223248,2923080,797699,976498,167086,null,null,337270,17223248,2923700,167098
Report,2021-01-19,US,null,null,null,null,null,null,null,null,null,621154,886277,null,null,null,null
Admin,2021-01-19,LTC,180333,131942,47689,2169630,2002158,149190,107487,125493,17327,null,null,47689,2002158,149190,17326
Admin,2021-01-20,US,1565936,1141996,404029,22075191,18365244,3327109,818279,1017161,187125,null,null,404040,18365244,3327740,187137
Report,2021-01-20,US,null,null,null,null,null,null,null,null,null,441318,808253,null,null,null,null
Admin,2021-01-20,LTC,191005,146727,43551,2360635,2148885,192741,107986,129935,21290,null,null,43551,2148885,192741,21290
Admin,2021-01-21,US,1580439,1300846,258408,23655630,19666090,3585517,843418,1061248,205555,null,null,258433,19666090,3586173,205569
Report,2021-01-21,US,null,null,null,null,null,null,null,null,null,1021093,797857,null,null,null,null
Admin,2021-01-21,LTC,144249,132676,10993,2504884,2281561,203734,107262,130349,22434,null,null,10993,2281561,203734,22434
Admin,2021-01-22,US,1576083,1358990,198391,25231713,21025080,3783908,881921,1112522,217600,null,null,198406,21025080,3784579,217613
Report,2021-01-22,US,null,null,null,null,null,null,null,null,null,1561585,884336,null,null,null,null
Admin,2021-01-22,LTC,127062,122109,4472,2631946,2403670,208206,108935,132372,22864,null,null,4472,2403670,208206,22863
Admin,2021-01-23,US,882375,728892,142461,26114088,21753972,3926369,906447,1148395,228235,null,null,142469,21753972,3927048,228248
Report,2021-01-23,US,null,null,null,null,null,null,null,null,null,1430031,925620,null,null,null,null
Admin,2021-01-23,LTC,96546,68037,28033,2728492,2471707,236239,110560,136964,25859,null,null,28033,2471707,236239,25858
Admin,2021-01-24,US,381917,294361,82582,26496005,22048333,4008951,912597,1161075,234383,null,null,82587,22048333,4009635,234396
Report,2021-01-24,US,null,null,null,null,null,null,null,null,null,1310665,990557,null,null,null,null
Admin,2021-01-24,LTC,63329,43638,19360,2791821,2515345,255599,110621,138995,27817,null,null,19361,2515345,255600,27816
Admin,2021-01-25,US,1311292,833206,460520,27807297,22881539,4469471,943409,1228125,269093,null,null,460533,22881539,4470168,269105
Report,2021-01-25,US,null,null,null,null,null,null,null,null,null,885588,1038776,null,null,null,null
Admin,2021-01-25,LTC,184754,125896,57791,2976575,2641241,313390,110146,141039,30270,null,null,57791,2641241,313391,30270
Admin,2021-01-26,US,1611153,1035187,554079,29418450,23916726,5023550,956211,1272742,300067,null,null,554094,23916726,5024262,300080
Report,2021-01-26,US,null,null,null,null,null,null,null,null,null,806751,1065290,null,null,null,null
Admin,2021-01-26,LTC,205061,133947,70390,3181636,2775188,383780,110433,144572,33513,null,null,70390,2775188,383781,33513
Admin,2021-01-27,US,1868327,1222294,617704,31286777,25139020,5641254,967682,1315940,330592,null,null,617718,25139020,5641980,330605
Report,2021-01-27,US,null,null,null,null,null,null,null,null,null,1111640,1161050,null,null,null,null
Admin,2021-01-27,LTC,212070,140765,70631,3393706,2915953,454411,109581,147581,37381,null,null,70631,2915953,454412,37381
Admin,2021-01-28,US,1893977,1344781,526946,33180754,26483801,6168200,973959,1360732,368955,null,null,526976,26483801,6168956,368969
Report,2021-01-28,US,null,null,null,null,null,null,null,null,null,1541048,1235330,null,null,null,null
Admin,2021-01-28,LTC,190731,118625,71401,3584437,3034578,525812,107574,154221,46011,null,null,71401,3034578,525813,46011
Admin,2021-01-29,US,1844412,1337420,470296,35025166,27821221,6638496,970877,1399064,407798,null,null,470312,27821221,6639268,407812
Report,2021-01-29,US,null,null,null,null,null,null,null,null,null,1690979,1253815,null,null,null,null
Admin,2021-01-29,LTC,177844,114176,63157,3762281,3148754,588969,106441,161476,54395,null,null,63157,3148754,588970,54394
Admin,2021-01-30,US,991982,750200,229050,36017148,28571421,6867546,973921,1414722,420168,null,null,229052,28571421,6868320,420181
Report,2021-01-30,US,null,null,null,null,null,null,null,null,null,1693241,1291416,null,null,null,null
Admin,2021-01-30,LTC,96415,61032,34954,3858696,3209786,623923,105440,161457,55383,null,null,34954,3209786,623924,55383
Admin,2021-01-31,US,443244,319755,117435,36460392,28891176,6984981,977549,1423483,425147,null,null,117441,28891176,6985761,425160
Report,2021-01-31,US,null,null,null,null,null,null,null,null,null,1545397,1324949,null,null,null,null
Admin,2021-01-31,LTC,67491,42682,24482,3926187,3252468,648405,105303,162052,56115,null,null,24482,3252468,648406,56115
Admin,2021-02-01,US,1269763,720508,527627,37730155,29611684,7512608,961449,1417551,434734,null,null,527737,29611684,7513498,434761
Report,2021-02-01,US,null,null,null,null,null,null,null,null,null,1099103,1355451,null,null,null,null
Admin,2021-02-01,LTC,174334,88370,85052,4100521,3340838,733457,99942,160563,60010,null,null,85052,3340838,733458,60009
Admin,2021-02-02,US,1618323,937978,659611,39348478,30549662,8172219,947562,1418575,449810,null,null,659654,30549662,8173152,449841
Report,2021-02-02,US,null,null,null,null,null,null,null,null,null,558458,1319981,null,null,null,null
Admin,2021-02-02,LTC,188411,96504,90442,4288932,3437342,823899,94593,158185,62874,null,null,90442,3437342,823900,62874
Admin,2021-02-03,US,2063161,1240017,793908,41411639,31789679,8966127,950094,1446408,474982,null,null,793939,31789679,8967091,475015
Report,2021-02-03,US,null,null,null,null,null,null,null,null,null,1097394,1317946,null,null,null,null
Admin,2021-02-03,LTC,199879,101262,96843,4488811,3538604,920742,88950,156443,66619,null,null,96843,3538604,920743,66618
Admin,2021-02-04,US,2255670,1360532,868214,43667309,33150211,9834341,952344,1498079,523734,null,null,868260,33150211,9835351,523770
Report,2021-02-04,US,null,null,null,null,null,null,null,null,null,1325456,1287147,null,null,null,null
Admin,2021-02-04,LTC,203800,99593,103337,4692611,3638197,1024079,86231,158310,71181,null,null,103337,3638197,1024080,71181
Admin,2021-02-05,US,2262752,1329666,910957,45930061,34479877,10745298,951237,1557842,586686,null,null,910999,34479877,10746350,586726
Report,2021-02-05,US,null,null,null,null,null,null,null,null,null,1615502,1276364,null,null,null,null
Admin,2021-02-05,LTC,208559,110408,96585,4901170,3748605,1120664,85693,162698,75956,null,null,96585,3748605,1120665,75956
Admin,2021-02-06,US,1255672,840143,402748,47185733,35320020,11148046,964086,1595512,611500,null,null,402781,35320020,11149131,611544
Report,2021-02-06,US,null,null,null,null,null,null,null,null,null,2218752,1351437,null,null,null,null
Admin,2021-02-06,LTC,111062,60653,49619,5012232,3809258,1170283,85639,164790,78051,null,null,49619,3809258,1170284,78051
Admin,2021-02-07,US,431912,276861,148370,47617645,35596881,11296416,957958,1593893,615919,null,null,148385,35596881,11297516,615965
Report,2021-02-07,US,null,null,null,null,null,null,null,null,null,2172973,1441091,null,null,null,null
Admin,2021-02-07,LTC,65482,30165,34755,5077714,3839423,1205038,83851,164503,79519,null,null,34755,3839423,1205039,79519
Admin,2021-02-08,US,1497583,817986,664715,49115228,36414867,11961131,971883,1626439,635503,null,null,664753,36414867,11962269,635538
Report,2021-02-08,US,null,null,null,null,null,null,null,null,null,1206680,1456459,null,null,null,null
Admin,2021-02-08,LTC,161705,73270,87039,5239419,3912693,1292077,81694,162699,79803,null,null,87039,3912693,1292078,79802
Admin,2021-02-09,US,1883542,1018164,849152,50998770,37433031,12810283,983338,1664327,662581,null,null,849197,37433031,12811466,662616
Report,2021-02-09,US,null,null,null,null,null,null,null,null,null,788573,1489333,null,null,null,null
Admin,2021-02-09,LTC,169322,74784,93106,5408741,3987477,1385183,78591,159972,80183,null,null,93106,3987477,1385184,80183
Admin,2021-02-10,US,2198832,1198267,982682,53197602,38631298,13792965,977374,1683709,689548,null,null,982726,38631298,13794192,689585
Report,2021-02-10,US,null,null,null,null,null,null,null,null,null,1563780,1555959,null,null,null,null
Admin,2021-02-10,LTC,162433,61111,99412,5571174,4048588,1484595,72855,154623,80550,null,null,99412,4048588,1484596,80550
Admin,2021-02-11,US,2303561,1246922,1036448,55501163,39878220,14829413,961144,1690550,713582,null,null,1036504,39878220,14830696,713620
Report,2021-02-11,US,null,null,null,null,null,null,null,null,null,1620300,1598080,null,null,null,null
Admin,2021-02-11,LTC,159905,62525,96063,5731079,4111113,1580658,67559,148352,79511,null,null,96063,4111113,1580659,79511
Admin,2021-02-12,US,2483498,1347267,1107084,57984661,41225487,15936497,963659,1722085,741600,null,null,1107147,41225487,15937843,741641
Report,2021-02-12,US,null,null,null,null,null,null,null,null,null,2020288,1655907,null,null,null,null
